file_name,cwe,line
mr7bagulf.com.js,CWE-798,13
mstaml.com.js,CWE-798,12
mutualev.com.js,CWE-798,13
myfreescorenow.com.js,CWE-798,5
mysarkarimitra.in.js,CWE-798,13
mystays.com.js,CWE-798,8
mysugardaddy.com.js,CWE-798,9
mysugardaddy.eu.js,CWE-798,9
mywishcare.com.js,CWE-798,2
naderalterations.com.js,CWE-798,13
nadlancenter.co.il.js,CWE-798,6
nakbook.com.js,CWE-798,5
nearresult.org.js,CWE-798,13
needsoftelangana.com.js,CWE-798,13
nero.com.js,CWE-798,8
neuqueninforma.gob.ar.js,CWE-798,31
newsofkannada.com.js,CWE-798,13
nflspice.in.js,CWE-798,6
nicolaporro.it.js,CWE-798,5
nin.rs.js,CWE-798,9
niveshcalculator.in.js,CWE-798,13
nkiticampus.com.js,CWE-798,13
nl7za.com.js,CWE-798,13
nosotrasonline.com.co.js,CWE-798,168
nosotrasonline.com.do.js,CWE-798,168
noticiasnet.com.ar.js,CWE-798,3
novojornal.co.ao.js,CWE-798,1
npccindia.com.js,CWE-798,13
nrcddp.org.js,CWE-798,13
nsfas-applications.co.za.js,CWE-798,13
nuepa.org.js,CWE-798,13
nvsadmission.co.in.js,CWE-798,13
nvsadmissionclassnine.in.js,CWE-798,13
oldcoinprice.in.js,CWE-798,13
ona-on.com.js,CWE-798,6
online-solitaire.com.js,CWE-798,5
onlinejobhelp.in.js,CWE-798,13
ordernation.com.js,CWE-798,1
outgo.com.br.js,CWE-798,8
oz.by.js,CWE-798,1
pacificwestcollege.com.js,CWE-798,13
paperearn.com.js,CWE-798,13
paratlan.hu.js,CWE-798,5
parisanasri.ir.js,CWE-798,13
parkiet.com.js,CWE-798,58
pdalife.to.js,CWE-798,6
pdfhai.co.in.js,CWE-798,13
pegemakademi.com.js,CWE-798,1
petleo.app.js,CWE-798,9
phooto.com.br.js,CWE-798,2
photoaistudio.com.js,CWE-798,7
photobook.com.my.js,CWE-798,2
placementstore.com.js,CWE-798,13
pmschemehub.in.js,CWE-798,13
pmsmahavidyalayaadmission.in.js,CWE-798,6
pmsuryaghar.com.js,CWE-798,13
pmsuryaghar.org.in.js,CWE-798,13
pmsuryagharyojana.in.js,CWE-798,13
pmsuryagharyojana.net.js,CWE-798,13
poppen.de.js,CWE-798,11
pradeshtak.com.js,CWE-798,13
presidencia.pt.js,CWE-798,5
prijavim.se.js,CWE-798,6
primedecor.pk.js,CWE-798,1
prudential.com.vn.js,CWE-798,2
prva.rs.js,CWE-798,9
qatarsale.com.js,CWE-798,5
quien.com.js,CWE-798,8
rdoverseas.in.js,CWE-798,1
readnovel.eu.js,CWE-798,14
red-redial.net.js,CWE-798,13
redgo.film.js,CWE-798,9
redimin.cl.js,CWE-798,13
revendedor.com.br.js,CWE-798,1
revistaestilo.net.js,CWE-798,1
ribbonflowers.com.js,CWE-798,7
ringgitplus.com.js,CWE-798,1
roamingexpress.com.js,CWE-798,13
roci.biz.js,CWE-798,51
rokna.net.js,CWE-798,1
roya.com.js,CWE-798,5
royalselangor.com.js,CWE-798,2
rp.pl.js,CWE-798,56
sabah.com.tr.js,CWE-798,11
samaa.tv.js,CWE-798,6
samaaenglish.tv.js,CWE-798,6
sansar24.com.js,CWE-798,13
santsahitya.in.js,CWE-798,5
sarkaricash.com.js,CWE-798,13
sarkarihelp24.in.js,CWE-798,13
sarkariresult.app.js,CWE-798,13
sarkariupdates360.com.js,CWE-798,13
sarkarizone.org.js,CWE-798,13
sattamatkaz.com.js,CWE-798,7
saudirailways.org.js,CWE-798,13
savills.co.uk.js,CWE-798,1
sayellow.com.js,CWE-798,8
schemehub.in.js,CWE-798,13
scienzavegetariana.it.js,CWE-798,5
sedna360.com.js,CWE-798,6
servimedia.es.js,CWE-798,1
showzone.gg.js,CWE-798,5
shyaway.com.js,CWE-798,2
simhachalamdevasthanam.net.js,CWE-798,13
simpalsid.com.js,CWE-798,5
siyavula.com.js,CWE-798,9
sofolympiadtrainer.com.js,CWE-798,9
sokkerpro.com.js,CWE-798,5
solarwords.com.js,CWE-798,13
southwestfour.com.js,CWE-798,13
spellquiz.com.js,CWE-798,8
sschittorgarh.com.js,CWE-798,13
ssmahavidyalaya.org.js,CWE-798,13
ssoidrajasthan.co.js,CWE-798,13
stroeck.at.js,CWE-798,12
studio24.bg.js,CWE-798,61
studio24.bg.js,CWE-798,77
studygovt99.com.js,CWE-798,13
subarutechshare.com.js,CWE-798,12
sweetheartslive.com.js,CWE-798,7
tamilneeds24.in.js,CWE-798,13
tamilyogi.org.in.js,CWE-798,13
tamkeenstores.com.sa.js,CWE-798,1
taxlok.com.js,CWE-798,6
tazahindisamachar.com.js,CWE-798,13
tech360hindi.in.js,CWE-798,6
technicalranjay.co.js,CWE-798,4
technicalranjay.net.js,CWE-798,4
technukti.com.js,CWE-798,13
tehillim-center.co.il.js,CWE-798,6
telocomproenusa.com.js,CWE-798,8
